,social_beta,governance_beta,environment_beta
incorporated,,,
equipment,,,
sheet,,,
senior,,,
various,,,
plant,,,
liquid,,,
available,,,
transportation,,,
resource,,,
day,,,
file,,,
field,,,
director,,,
standard,,,
pursuant,,,
provided,,,
refinery,,,
continued,,,
claim,,,
petroleum,,,
method,,,
adjustment,,,
section,,,
executive,,,
equivalent,,,
portion,,,
upon,,,
requirement,,,
capacity,,,
matter,,,
international,,,
number,,,
devon,-0.5329292929292929,-0.7366666666666667,1.9744444444444444
use,,,
february,,,
law,,,
b,,,
account,,,
state,,,
generally,,,
system,,,
amortization,,,
swap,,,
reported,,,
using,,,
dated,,,
data,,,
texas,,,
processing,,,
attributable,,,
discussion,,,
within,,,
pension,,,
north,,,
settlement,,,
provision,,,
internal,,,
decreased,,,
federal,,,
canada,,,
proceeds,,,
rule,,,
ngl,-1.28,-0.4370588235294116,8.060980392156866
williams,0.805333333333333,0.16599999999999981,0.0539999999999998
financing,,,
paid,,,
court,,,
corporate,,,
demand,,,
made,,,
refining,,,
principal,,,
quarterly,,,
le,,,
end,,,
apache,-0.309583333333333,-0.462083333333333,0.07333333333333357
distribution,,,
industry,,,
continuing,,,
partially,,,
limited,,,
retirement,,,
april,,,
supply,,,
provide,,,
assumption,,,
refined,,,
borrowing,,,
potential,,,
restricted,,,
midstream,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
held,,,
event,,,
affect,,,
board,,,
right,,,
commitment,,,
carrying,,,
sold,,,
discontinued,,,
bank,,,
existing,,,
gathering,,,
economic,,,
inventory,,,
completed,,,
beginning,,,
july,,,
resulting,,,
fund,,,
currently,,,
analysis,,,
gulf,,,
thousand,,,
depreciation,,,
chief,,,
two,,,
schlumberger,1.6199999999999999,0.8016666666666663,-6.826111111111112
site,,,
acquired,,,
among,,,
goodwill,,,
remaining,,,
commercial,,,
regulatory,,,
received,,,
entity,,,
regarding,,,
respect,,,
marathon,-1.5360000000000003,-0.401,2.751000000000001
valero,-1.0241666666666664,-1.3141666666666667,1.4733333333333336
administrative,,,
component,,,
policy,,,
ii,,,
case,,,
follows,,,
however,,,
unaudited,,,
gross,,,
whether,,,
president,,,
decline,,,
defined,,,
exposure,,,
continue,,,
e,,,
rating,,,
affiliate,,,
storage,,,
proceeding,,,
return,,,
ability,,,
rig,2.7577777777777777,1.4372222222222222,0.5316666666666657
basin,,,
process,,,
fuel,,,
liquidity,,,
technology,,,
joint,,,
america,,,
action,,,
legal,,,
damage,,,
payable,,,
region,,,
incurred,,,
accumulated,,,
determined,,,
presented,,,
issuance,,,
llc,,,
fixed,,,
reduction,,,
accrued,,,
believe,,,
capitalized,,,
entered,,,
country,,,
trading,,,
completion,,,
arrangement,,,
relating,,,
amended,,,
ownership,,,
conocophillips,-1.5912499999999994,-0.8518749999999994,1.866875
realized,,,
set,,,
group,,,
stockholder,,,
order,,,
chevron,-1.0917647058823534,-1.2801960784313724,5.178627450980394
guarantee,,,
present,,,
expect,,,
growth,,,
government,,,
sec,,,
measurement,,,
august,,,
materially,,,
hedging,,,
october,,,
adverse,,,
purpose,,,
postretirement,,,
public,,,
applicable,,,
preferred,,,
receivables,,,
fee,,,
index,,,
connection,,,
chemical,,,
contribution,,,
actual,,,
provides,,,
grant,,,
issue,,,
merger,,,
venture,,,
measure,,,
sfas,1.6774999999999998,0.31375000000000014,-0.9862500000000002
canadian,,,
construction,,,
line,,,
ngls,-1.28,-0.4370588235294116,8.060980392156866
repurchase,,,
amendment,,,
owned,,,
incentive,,,
accompanying,,,
input,,,
reduced,,,
excess,,,
producing,,,
c,,,
major,,,
worldwide,,,
working,,,
discussed,,,
make,,,
reduce,,,
insurance,,,
accordance,,,
sell,,,
offshore,,,
vice,,,
remediation,,,
mexico,,,
except,,,
litigation,,,
similar,,,
since,,,
previously,,,
discount,,,
audit,,,
condensed,1.1631372549019605,0.21000000000000005,4.010000000000002
valuation,,,
november,,,
aggregate,,,
procedure,,,
noncontrolling,,,
fourth,,,
require,,,
located,,,
reasonably,,,
disposition,,,
fasb,,,
revolving,,,
class,,,
excluding,,,
investing,,,
weighted,,,
diluted,,,
source,,,
possible,,,
forth,,,
principle,,,
paper,,,
granted,,,
pay,,,
terminal,-4.987368421052625,-2.422631578947365,-7.706842105263149
reflected,,,
filer,,,
location,,,
evaluation,,,
recovery,,,
independent,,,
p,,,
power,,,
maturity,,,
affected,,,
letter,,,
forward,,,
depletion,0.5435294117647056,0.28843137254902,0.5315686274509813
kmp,-2.43,-2.6094444444444442,-2.409444444444444
judgment,,,
exploratory,1.7525,1.345,2.041875
page,,,
shale,,,
adoption,,,
west,,,
compliance,,,
described,,,
designated,,,
pioneer,-0.3129670329670328,0.4858241758241755,0.13197802197802175
environment,,,
requires,,,
gasoline,-2.884999999999999,-1.098749999999999,0.32312500000000094
extent,,,
contractual,,,
review,,,
lawsuit,,,
assessment,,,
life,,,
reflect,,,
purchased,,,
many,,,
national,,,
volatility,,,
asu,,,
loan,,,
pricing,,,
resulted,,,
several,,,
record,,,
reasonable,,,
certification,,,
boe,0.45599999999999996,1.923,3.7430000000000003
receivable,,,
emission,,,
contingency,,,
fiscal,,,
foot,2.5284210526315785,1.6510526315789467,-0.05421052631579065
accelerated,,,
adopted,,,
range,,,
accounted,,,
coast,,,
global,,,
uncertainty,,,
block,1.2547368421052627,1.5142105263157883,-3.348947368421051
shareholder,,,
significantly,,,
decision,,,
timing,,,
agency,,,
early,,,
restated,,,
mark,,,
necessary,,,
belief,,,
document,,,
lng,0.6320000000000002,0.25666666666666665,-2.4233333333333333
strategy,,,
either,,,
substantially,,,
water,,,
extension,,,
partnership,,,
penalty,,,
epa,-2.492631578947368,-1.812105263157893,3.7142105263157883
allowance,,,
indicate,,,
announced,,,
access,,,
basic,,,
ratio,,,
iii,,,
maintenance,,,
circumstance,,,
adjusted,,,
adversely,,,
domestic,,,
represents,,,
assumed,,,
check,,,
east,,,
trust,,,
morgan,-1.7537500000000001,-1.8612499999999996,2.2481250000000013
intangible,,,
normal,,,
counterparties,,,
exercise,,,
support,,,
profit,,,
ferc,0.040833333333333395,-0.33374999999999994,2.7579166666666666
consideration,,,
difference,,,
classified,,,
opinion,,,
cubic,-0.2015686274509808,0.04921568627451013,4.7982352941176485
south,,,
expansion,,,
full,,,
local,,,
considered,,,
feedstock,-2.6329411764705895,-1.962549019607843,-3.805686274509804
discovery,,,
authorized,,,
large,,,
totaled,,,
periodic,,,
jurisdiction,,,
cumulative,,,
herein,,,
york,,,
additionally,,,
mplx,-1.9200000000000004,-2.36686274509804,-0.02568627450980423
greater,,,
supplemental,,,
responsible,,,
safety,,,
transfer,,,
meet,,,
bbl,0.32750000000000046,1.8199999999999998,6.541874999999998
accrual,,,
anticipated,,,
interim,,,
primary,,,
measured,,,
permit,,,
produce,,,
condensate,-0.26937499999999975,0.1418750000000001,6.4075
therefore,,,
combined,,,
operate,,,
receive,,,
initial,,,
firm,,,
maintain,,,
phillips,-1.3049999999999995,-1.4920833333333325,-1.3129166666666665
district,,,
presentation,,,
determine,,,
quantity,,,
historical,,,
revision,,,
manage,,,
subsequent,,,
hess,-0.9882828282828281,0.04373737373737388,1.5144444444444438
maximum,,,
although,,,
final,,,
delivery,,,
variable,,,
divestiture,1.2547368421052627,1.5142105263157883,-3.348947368421051
approval,,,
hydrocarbon,,,
reservoir,2.5284210526315785,1.6510526315789467,-0.05421052631579065
africa,0.9813333333333331,2.232666666666667,1.955333333333333
cause,,,
calculation,,,
otherwise,,,
impacted,,,
developed,,,
improved,,,
fully,,,
recognition,,,
approved,,,
plus,,,
majority,,,
differ,,,
srt,,,
upstream,0.341111111111111,0.17055555555555543,-2.029444444444445
exxonmobil,-0.9519047619047626,0.17880952380952417,-1.7450000000000008
mcf,0.5462499999999999,0.6262500000000003,1.4543749999999998
half,,,
likely,,,
trade,,,
probable,,,
represent,,,
summary,,,
treasury,,,
assurance,,,
investigation,,,
specified,,,
fluctuation,,,
contingent,,,
committee,,,
underlying,,,
planned,,,
collar,1.3393406593406594,0.6702197802197802,1.9691208791208792
stated,,,
unsecured,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
discounted,,,
holding,,,
established,,,
last,,,
undeveloped,0.8431250000000003,1.129375,4.310624999999999
mpc,-0.8688888888888892,0.390555555555555,3.712777777777778
differential,-0.5768421052631579,0.2931578947368419,9.219473684210527
filing,,,
us,,,
retail,-1.892380952380953,-1.4402380952380958,0.45738095238095305
registration,,,
proposed,,,
sea,2.0577777777777775,2.5538888888888893,1.8038888888888882
percentage,,,
portfolio,,,
drill,2.414117647058824,1.578627450980392,-0.8723529411764709
closing,,,
acreage,1.272941176470589,1.3080392156862743,1.9747058823529409
holder,,,
schedule,,,
effort,,,
past,,,
offering,,,
minimum,,,
collateral,-0.5768421052631579,0.2931578947368419,9.219473684210527
limit,,,
indenture,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
five,,,
pending,,,
california,,,
engineering,,,
type,,,
physical,,,
known,,,
response,,,
reclassified,,,
opportunity,,,
security,,,
authority,,,
overall,,,
ongoing,,,
produced,,,
approach,,,
nature,,,
oklahoma,3.065263157894735,-0.18052631578947387,-0.11736842105263139
funding,,,
producer,,,
agent,,,
dd,0.9173333333333334,0.7020000000000001,2.5526666666666675
outside,,,
reflects,,,
pretax,2.5284210526315785,1.6510526315789467,-0.05421052631579065
unrealized,,,
kinder,-0.8280000000000002,-1.9330000000000003,2.0830000000000006
royalty,,,
throughput,-0.5768421052631579,0.2931578947368419,9.219473684210527
hold,,,
guidance,,,
disposal,,,
without,,,
generated,,,
series,,,
alleged,-0.5768421052631579,0.2931578947368419,9.219473684210527
mean,,,
owner,,,
mainly,,,
notional,,,
expects,,,
plaintiff,1.2547368421052627,1.5142105263157883,-3.348947368421051
must,,,
combination,,,
comparable,,,
availability,,,
base,,,
indicated,,,
code,,,
violation,,,
caused,,,
governmental,,,
specific,,,
downstream,-4.987368421052625,-2.422631578947365,-7.706842105263149
qualitative,,,
office,,,
spending,,,
substantial,,,
covenant,-1.081111111111111,-1.6405555555555558,2.520555555555557
indemnification,,,
halliburton,1.7662745098039219,1.0409803921568628,-3.213921568627452
outcome,,,
selling,,,
counterparty,,,
high,,,
former,,,
accepted,,,
repayment,,,
operated,,,
land,,,
failure,,,
operator,,,
four,,,
dry,,,
update,,,
appropriate,,,
respective,,,
determination,,,
transport,,,
settled,,,
xbrl,3.3494736842105266,3.4299999999999997,7.91421052631579
release,,,
health,,,
transition,,,
conduct,,,
australia,1.0658333333333332,1.6725,-0.6795833333333334
work,,,
open,,,
quoted,,,
defendant,,,
occur,,,
permian,-4.987368421052625,-2.422631578947365,-7.706842105263149
hedged,,,
infrastructure,,,
drilled,2.414117647058824,1.578627450980392,-0.8723529411764709
contributed,,,
organization,,,
become,,,
delaware,,,
remain,,,
individual,,,
driven,,,
deepwater,1.2021052631578937,3.766842105263157,2.3563157894736833
obtain,,,
allocated,,,
pipe,3.065263157894735,-0.18052631578947387,-0.11736842105263139
bp,-2.2537499999999993,-1.208124999999999,-2.451874999999999
totaling,,,
finance,,,
favorable,,,
arising,,,
others,,,
unproved,0.6885714285714286,0.6930952380952383,4.364523809523811
description,,,
topic,,,
test,,,
numerous,,,
improvement,,,
bond,,,
daily,,,
air,,,
application,,,
civil,,,
ending,,,
table,,,
successful,,,
ultimate,,,
consist,,,
private,,,
owns,,,
translation,,,
acre,1.7525,1.345,2.041875
sufficient,,,
directly,,,
allocation,,,
limitation,,,
key,,,
kingdom,-0.34124999999999983,-1.2081249999999994,-1.5424999999999995
effectiveness,,,
need,,,
delay,,,
operational,,,
complete,,,
funded,,,
relationship,,,
disclosed,,,
occurred,,,
weather,,,
outlook,,,
g,,,
active,,,
europe,-1.385,-0.2331249999999997,-2.5706249999999993
western,,,
model,,,
calculated,,,
registered,,,
experience,,,
convertible,,,
operatingsegmentsmember,-2.4037499999999996,-2.083124999999999,-3.3987500000000006
projected,,,
conjunction,,,
retained,,,
separation,,,
potentially,,,
quality,,,
investor,,,
kmi,-2.402222222222222,-3.798333333333333,-5.420555555555555
asia,-2.1113725490196087,0.006078431372549307,-3.4056862745098053
typically,,,
gaap,,,
sand,,,
direct,,,
recognize,,,
meeting,,,
kbr,2.825555555555554,1.096111111111111,-0.5261111111111106
proxy,,,
quantitative,,,
steel,-0.3133333333333335,-0.7129166666666665,-1.8712499999999996
identified,,,
address,,,
actuarial,,,
equal,,,
separate,,,
recent,,,
restriction,,,
unrecognized,,,
political,,,
pressure,,,
design,,,
accordingly,,,
next,,,
r,,,
middle,,,
supplementary,,,
reflecting,,,
unless,,,
trend,,,
forecasted,,,
river,-1.6200000000000003,-0.801666666666666,6.826111111111111
onshore,2.5284210526315785,1.6510526315789467,-0.05421052631579065
participant,,,
throughout,,,
louisiana,,,
operates,,,
protection,,,
alternative,,,
longer,,,
point,,,
consists,,,
expectation,,,
yes,,,
refer,,,
integrated,,,
variety,,,
geographic,,,
appeal,-0.5768421052631579,0.2931578947368419,9.219473684210527
asc,-0.49777777777777726,0.33722222222222215,9.459444444444443
ethanol,-2.238000000000001,-1.8589999999999998,0.05900000000000016
kansa,2.010196078431373,0.4609803921568627,3.594313725490196
play,,,
seek,,,
thing,,,
given,,,
definition,,,
notice,,,
agreed,,,
trustee,,,
hierarchy,-0.5768421052631579,0.2931578947368419,9.219473684210527
behalf,,,
lender,-0.5768421052631579,0.2931578947368419,9.219473684210527
wpz,-0.7915789473684218,-3.977368421052632,-7.461578947368422
excludes,,,
place,,,
termination,,,
summarizes,,,
acquire,,,
perform,,,
wti,-4.987368421052625,-2.422631578947365,-7.706842105263149
different,,,
averaged,,,
severance,,,
along,,,
consistent,,,
strong,,,
formation,,,
department,,,
preceding,,,
x,,,
book,,,
alaska,-1.335238095238096,-0.2449999999999998,-1.8759523809523813
covered,,,
hole,2.414117647058824,1.578627450980392,-0.8723529411764709
indemnity,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
began,,,
vesting,,,
premium,,,
predict,,,
ass,,,
competitive,,,
transmission,2.5284210526315785,1.6510526315789467,-0.05421052631579065
low,,,
elimination,,,
incident,,,
member,,,
signed,,,
contain,,,
mmbtu,-0.11444444444444433,-0.9961111111111113,-4.112777777777777
objective,,,
evaluating,,,
relative,,,
scheduled,,,
par,,,
resolution,,,
nov,0.1647619047619045,0.13595238095238082,0.4859523809523814
name,,,
venezuela,0.6773333333333332,1.2193333333333336,-0.6580000000000004
involved,,,
fact,,,
phase,,,
linkbase,1.0466666666666666,1.0983333333333334,3.6927777777777764
vary,,,
smaller,,,
request,,,
advance,,,
consent,,,
argentina,1.901978021978022,1.8438461538461541,0.02186813186813185
minority,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
multiple,,,
take,,,
continues,,,
negative,,,
incur,,,
selected,,,
manufacturing,-1.8821052631578938,-1.3278947368421048,-3.7910526315789466
responsibility,,,
yield,,,
master,-0.5768421052631579,0.2931578947368419,9.219473684210527
contained,,,
corresponding,,,
inherent,,,
eagle,,,
reclassification,,,
exposed,,,
applied,,,
revised,,,
exceed,,,
affecting,,,
good,,,
fractionation,-1.7090476190476194,-0.3854761904761904,2.2026190476190486
long,,,
evaluate,,,
default,2.5284210526315785,1.6510526315789467,-0.05421052631579065
legislation,,,
conducted,,,
issuer,,,
across,,,
realization,,,
fluid,1.2021052631578937,3.766842105263157,2.3563157894736833
comply,,,
committed,,,
largely,,,
modified,,,
highly,,,
providing,,,
previous,,,
practice,,,
diesel,-1.421333333333334,-0.8633333333333333,1.3900000000000006
relate,,,
course,,,
ford,,,
offer,,,
summarized,,,
charged,,,
detail,,,
petrochemical,-4.987368421052625,-2.422631578947365,-7.706842105263149
declared,,,
shown,,,
spread,,,
seismic,2.794666666666666,2.8966666666666665,2.008666666666667
coverage,,,
increasing,,,
duly,-0.36631578947368315,0.3457894736842101,8.703684210526314
named,,,
county,,,
observable,,,
interpretation,,,
egypt,0.9773737373737372,1.8699999999999997,0.932626262626262
bcf,1.464761904761905,0.5740476190476191,2.3692857142857155
motion,-1.2977777777777777,-0.5461111111111111,2.8649999999999993
concluded,,,
unable,,,
statutory,,,
utilized,,,
concerning,,,
person,,,
consider,,,
city,,,
example,,,
eligible,,,
comprised,,,
able,,,
license,,,
submitted,,,
apply,,,
integral,0.3299999999999997,2.142777777777778,6.109444444444445
waste,,,
develop,,,
closed,,,
absence,,,
pro,,,
store,-0.5033333333333336,-1.2572222222222218,-3.7683333333333335
uncertain,,,
mmboe,-0.044040404040403935,0.592626262626263,3.1663636363636365
export,-4.987368421052625,-2.422631578947365,-7.706842105263149
unfavorable,,,
wmb,-0.7915789473684218,-3.977368421052632,-7.461578947368422
houston,,,
certificate,,,
f,,,
useful,,,
offsetting,,,
grade,,,
restructuring,,,
purchaser,,,
dependent,,,
prepared,,,
cop,0.2603921568627452,0.025294117647058818,2.723333333333335
nymex,-0.37866666666666665,0.06199999999999983,4.696666666666667
beyond,,,
transco,-0.04625000000000021,-1.2418749999999998,-2.4199999999999995
valued,,,
testing,,,
mountain,2.952222222222222,0.7761111111111111,-0.0905555555555558
abandonment,,,
reconciliation,,,
budget,,,
recurring,,,
criterion,,,
fracturing,2.5284210526315785,1.6510526315789467,-0.05421052631579065
interstate,-1.6373333333333335,-0.578,4.200666666666668
critical,,,
publicly,,,
amortized,,,
anticipate,,,
cleanup,2.1466666666666665,-0.5183333333333333,0.19277777777777838
traded,,,
representing,,,
allow,,,
strategic,,,
together,,,
complaint,1.0021052631578944,-0.8015789473684208,0.4826315789473688
elected,,,
conversion,,,
excluded,,,
iv,,,
ceiling,0.07466666666666656,0.21133333333333337,1.9260000000000008
near,,,
oilfield,2.6742857142857153,3.485952380952382,3.481190476190477
external,,,
mile,-0.5768421052631579,0.2931578947368419,9.219473684210527
leasehold,0.26187499999999997,0.3168750000000004,3.160625000000001
noncurrent,,,
relevant,,,
short,,,
temporary,,,
designed,,,
forma,1.2547368421052627,1.5142105263157883,-3.348947368421051
indebtedness,,,
particularly,,,
involve,,,
lp,-1.0255555555555558,-0.557222222222222,4.381666666666667
adequate,,,
debenture,-1.192380952380953,-1.1069047619047623,-2.059285714285715
taken,,,
might,,,
libor,,,
consisted,,,
target,,,
computation,,,
wellhead,-0.18588235294117655,0.2021568627450982,-1.9037254901960794
deposit,1.2547368421052627,1.5142105263157883,-3.348947368421051
hazardous,,,
forecast,,,
china,1.9688888888888887,2.859444444444445,1.2149999999999992
efficiency,,,
posted,,,
remainder,,,
emerging,,,
receipt,,,
prospect,,,
approximate,,,
bitumen,0.11757575757575743,0.45323232323232326,2.8087878787878795
category,,,
accretion,-2.492631578947368,-1.812105263157893,3.7142105263157883
intercompany,,,
special,,,
deduction,,,
taxonomy,-0.15904761904761905,-0.30928571428571483,-1.7259523809523822
noncash,-2.610666666666667,-1.2473333333333332,2.5686666666666667
terminated,,,
regulated,-0.7224999999999997,-0.5862499999999997,6.566875
suspended,,,
climate,,,
contractor,1.2547368421052627,1.5142105263157883,-3.348947368421051
fa,2.72,2.241372549019608,2.096274509803922
clean,,,
performed,,,
hydraulic,2.5284210526315785,1.6510526315789467,-0.05421052631579065
technical,,,
deemed,,,
floating,,,
dvn,-1.002105263157895,0.8015789473684216,-0.4826315789473696
guaranteed,-2.492631578947368,-1.812105263157893,3.7142105263157883
converted,,,
refund,,,
netting,-0.49777777777777726,0.33722222222222215,9.459444444444443
mitigate,,,
status,,,
participating,-0.5768421052631579,0.2931578947368419,9.219473684210527
express,,,
recoverable,,,
world,,,
gallon,-1.7680000000000005,-0.5726666666666665,3.4726666666666666
consolidating,-0.94125,-1.0331249999999994,-2.9549999999999996
enter,,,
solution,-2.5588888888888883,-2.2905555555555552,-3.557222222222221
volatile,,,
derived,,,
incremental,,,
read,,,
maintaining,,,
arbitration,-0.9493333333333336,-0.8073333333333332,-0.18599999999999983
sharing,,,
assessed,,,
thereto,,,
determining,,,
recently,,,
norway,0.9591666666666665,1.6129166666666663,-0.9933333333333335
mining,2.531764705882353,1.951176470588235,0.8139215686274514
capitalization,,,
structure,,,
referred,,,
expire,,,
changed,,,
saving,,,
mix,-4.987368421052625,-2.422631578947365,-7.706842105263149
largest,,,
evaluated,,,
depending,,,
exxon,0.8449999999999995,0.4995833333333336,1.8954166666666674
monitor,,,
incorporation,,,
disruption,,,
involving,,,
close,,,
competition,,,
institution,,,
principally,,,
industrial,,,
northwest,0.018888888888888726,-0.08499999999999955,1.9316666666666662
ebitda,-2.3882828282828275,-1.964343434343434,-2.3663636363636362
timely,,,
none,,,
processed,,,
original,,,
another,,,
american,,,
repurchased,,,
british,,,
declined,,,
ultimately,,,
preparation,,,
contains,,,
experienced,,,
trinidad,1.5112499999999995,0.785833333333333,-1.9245833333333333
hurricane,,,
post,,,
transferred,,,
progress,,,
title,,,
consolidation,,,
permitted,,,
hub,,,
central,,,
nigeria,1.2993939393939393,2.051212121212121,-1.2639393939393941
classification,,,
utilize,,,
late,,,
southwest,-0.3881249999999997,-0.44875000000000004,5.191875
bakken,-0.7221978021978022,-1.1209890109890113,-0.004505494505493962
instance,,,
shorter,,,
vessel,-0.35888888888888926,1.2872222222222218,-0.7572222222222227
seeking,,,
focus,,,
staff,,,
count,2.5284210526315785,1.6510526315789467,-0.05421052631579065
functional,-4.987368421052625,-2.422631578947365,-7.706842105263149
utilization,,,
particular,,,
turnaround,-1.8537499999999998,0.09187500000000022,0.0231249999999998
intended,,,
libya,0.9074747474747473,1.4572727272727268,0.849191919191919
mobil,-0.5309890109890113,-0.0374725274725272,0.11197802197802258
extended,,,
geological,1.9966666666666668,1.6705555555555556,-1.7961111111111114
denominated,-1.9192156862745107,-0.0017647058823525537,-2.335098039215687
negatively,,,
least,,,
single,,,
concession,0.04937500000000017,1.1668749999999999,-2.267499999999999
carried,,,
reform,,,
delivered,,,
northern,,,
profitability,,,
mine,,,
reportable,-4.987368421052625,-2.422631578947365,-7.706842105263149
historically,,,
tool,0.3945098039215683,-0.26450980392156875,-3.7507843137254913
placed,,,
distillate,-1.7500000000000009,-0.887,0.6810000000000003
implementation,,,
repair,,,
contamination,,,
greenhouse,,,
expiration,,,
assessing,,,
apa,0.33666666666666667,1.5016666666666658,7.557222222222221
making,,,
olefin,0.1404166666666662,-0.4287499999999997,-0.2641666666666666
floor,0.543125,0.4700000000000002,-2.1862500000000002
redemption,,,
undiscounted,,,
qualified,,,
initiative,,,
impaired,,,
eitf,0.5435294117647056,0.28843137254902,0.5315686274509813
utility,-0.9144444444444442,-0.5294444444444444,4.109444444444444
cover,,,
treatment,,,
barnett,-0.3819999999999998,-0.513,0.5490000000000009
leased,,,
ethane,-1.2400000000000004,-0.6735714285714286,1.7311904761904775
consumer,,,
definitive,,,
relates,,,
colorado,3.065263157894735,-0.18052631578947387,-0.11736842105263139
movement,,,
wholly,,,
projection,,,
audited,,,
assuming,,,
taxable,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
annually,,,
station,-1.1811111111111108,0.2816666666666666,2.6816666666666675
yet,,,
complex,,,
ecuador,0.48285714285714265,0.24976190476190507,-1.4121428571428574
latin,0.145934065934066,0.13615384615384635,-1.870439560439561
substance,0.41263157894736746,-1.0331578947368412,-6.2226315789473645
requiring,,,
degree,,,
obtained,,,
success,,,
consisting,,,
care,,,
slb,0.576842105263158,-0.29315789473684195,-9.219473684210527
light,,,
exercised,,,
ruling,,,
vote,1.2547368421052627,1.5142105263157883,-3.348947368421051
enforcement,,,
separately,,,
center,,,
oke,-1.2021052631578943,-3.766842105263159,-2.356315789473685
served,,,
charter,,,
reached,,,
southern,,,
remedial,0.41263157894736746,-1.0331578947368412,-6.2226315789473645
improve,,,
personnel,,,
evidence,,,
executed,,,
shelf,-2.492631578947368,-1.812105263157893,3.7142105263157883
periodically,,,
competitor,,,
best,,,
buy,1.1188888888888888,0.7205555555555562,5.42611111111111
found,1.2547368421052627,1.5142105263157883,-3.348947368421051
technique,,,
manufacture,0.25285714285714256,0.23119047619047625,-0.4997619047619048
intermediate,,,
added,,,
entitled,,,
intersegment,-2.507450980392158,-2.111568627450981,-3.9233333333333342
intend,,,
satisfy,,,
certainty,,,
signature,,,
depend,,,
john,-0.9200000000000002,-1.712777777777778,-1.490555555555556
curve,-0.6760784313725494,-0.0017647058823525533,3.570784313725492
expensed,,,
productive,2.0855555555555556,1.365,-1.2072222222222224
dilutive,,,
suit,0.35777777777777775,0.953888888888889,3.098333333333334
wholesale,-0.6872727272727273,-0.3865656565656564,2.872020202020202
engineer,2.5284210526315785,1.6510526315789467,-0.05421052631579065
pollution,-2.492631578947368,-1.812105263157893,3.7142105263157883
fsp,2.72,2.241372549019608,2.096274509803922
bankruptcy,-1.3663157894736835,-1.3489473684210516,-0.9173684210526319
dispute,,,
became,,,
heavy,-3.6255555555555548,-1.979444444444444,-6.068333333333334
platform,2.5284210526315785,1.6510526315789467,-0.05421052631579065
recovered,,,
identify,,,
relief,,,
put,,,
immediately,,,
mmcfd,-0.6366666666666667,0.06916666666666678,0.7191666666666667
fin,2.0855555555555556,1.365,-1.2072222222222224
